Timestamp,CAN_ID,DLC,Data
1787422843.142144,0x101,2,66 03
1787422843.142189,0x102,2,54 00
1787422843.642702,0x100,2,00 00
1787422843.642879,0x101,2,20 03
1787422843.642918,0x102,2,54 00
1787422844.143447,0x100,2,02 00
1787422844.143545,0x101,2,66 03
1787422844.143572,0x102,2,54 00
1787422844.643931,0x100,2,04 00
1787422844.644121,0x101,2,AC 03
1787422844.644157,0x102,2,54 00
1787422845.145257,0x100,2,06 00
1787422845.145359,0x101,2,F2 03
1787422845.145400,0x102,2,54 00
1787422845.645629,0x100,2,08 00
1787422845.645762,0x101,2,38 04
1787422845.645770,0x102,2,54 00
1787422846.146982,0x100,2,0A 00
1787422846.147090,0x101,2,7E 04
1787422846.147112,0x102,2,54 00
1787422846.648211,0x100,2,0C 00
1787422846.648322,0x101,2,C4 04
1787422846.648359,0x102,2,54 00
1787422847.149466,0x100,2,0E 00
1787422847.149581,0x101,2,0A 05
1787422847.149612,0x102,2,54 00
1787422847.650122,0x100,2,10 00
1787422847.650306,0x101,2,50 05
1787422847.650340,0x102,2,54 00
1787422848.150634,0x100,2,12 00
1787422848.150734,0x101,2,96 05
1787422848.150761,0x102,2,54 00
1787422848.651098,0x100,2,14 00
1787422848.651243,0x101,2,DC 05
